,addr,latitude,longitude
0,硚口区汉口春天,30.60261090209568,114.2081270328786
1,硚口区 古田路红星佳苑,30.60061600850041,114.1931413207
2,武胜路名仕阁小区,30.57260859593978,114.2708555269792
3,中南路付家坡小区付家坡二路,30.53833423414178,114.3393608998484
4,东西湖区恒大嘉园,30.6342880971315,114.1234004741274
5,武汉市硚口区荣华街道金利屋,30.57573537495863,114.2707921964408
6,江岸区，一元街同福社区,30.58703873519715,114.3040197986104
7,洪山区白沙洲大道万科金色城市小区，洪山区金色城市社区,30.4867647023663,114.2654903973209
8,江夏区纸坊世纪花园,30.37258264629214,114.3238957961547
9,一元街,30.59846673640099,114.3115815547323
10,武昌区徐家棚秦园路环卫小区,30.59361416392494,114.3389309151364
11,汉阳区建桥街车站社区,30.55890537935514,114.2608392408819
12,宝岛公寓,30.60081580279859,114.2914454079123
13,汇龙花园、胜华社区,30.6349345772137,114.2967661612785
14,红卫路社区碧园小区,30.63463510879232,114.3781070065626
15,名流世家,30.6589004335441,114.3334297820238
16,江汉区泛海国际松海园,30.60740427424903,114.2426534949851
17,武汉市汉阳区钟家村琴台社区琴台村,30.55313290352152,114.2560030335078
18,纸坊街杨家湾还建楼,30.37005266318036,114.3238870825913
19,江岸区四唯街麟趾新村,30.61078732635113,114.3112142582703
20,江岸区四唯街六合社区,30.60667252050526,114.3153205717565
21,青山区钢都花园126街坊,30.62561534931254,114.3799417955667
22,黄鹤楼街道彭刘杨社区乃园,30.54991986168774,114.3023021486448
23,东湖御院 红星社区,30.51419083297699,114.3930999950157
24,长江紫都2期,30.52127600935052,114.2948272586657
25,硚口区建设大道营房北村,30.59193570626149,114.2536014137268
26,武汉市武昌区黄鹤楼街道西厂口社区（彭刘杨路,30.54801904321193,114.3097610487858
27,江岸区石桥社区,30.63729051817107,114.2789007511266
28,沙湖港湾2期和平社区,30.60275955967829,114.3928360728569
29,彭刘杨路,30.54548370315959,114.3104995888642
30,青山区108街,30.64659307554314,114.3914926569667
31,武汉体育学院,30.52666092333759,114.3850280013642
32,武昌区才华名苑,30.60243947544933,114.3475388378552
33,洪山区关山大道保利时代,30.4957018962643,114.4156220412702
34,武汉市武昌区水陆小区,30.53557466204834,114.3057309807764
35,青山区建设三路江南春城，已经连续发烧了10天,30.63516063446807,114.3872584041149
36,天门墩社区,30.61107492536709,114.2848469047888
37,冶金街碧苑花园社区,30.63343256469157,114.4167350417971
38,江岸百步亭现代城二区,30.6514226167877,114.3310384927562
39,姑嫂树福星华府,30.64051586024189,114.2574640375892
40,汉阳江腾苑b区,30.54112712390105,114.2586117127087
41,鹏程帝景园小区，惠誉花园社区，徐家棚街道,30.59249674975964,114.3394491475851
42,洪山区保利社区,30.50397456748433,114.4197695178098
43,武汉市武昌区友谊大道团结村路徐家棚紫领公寓,30.59177413072126,114.3458212777201
44,都府堤社区青石桥,30.56042993863284,114.305510177282
45,11社区,30.59846673640099,114.3115815547323
46,武汉市江夏区豹澥镇五期,30.38156421818202,114.3285512644602
47,白沙洲街道陆家街白沙洲街道办万福林社区,30.52514205020016,114.3055184416927
48,硚口区石码社区暨济商城,30.56911309014713,114.2820536238055
49,硚口区全新街道,30.5875843407756,114.2214603120715
50,青山区126街坊,30.61736480118301,114.3716904103048
51,武汉市江岸区 同庆阁社区,30.59482295855779,114.2974119531096
52,万松街王家墩机场社区,30.59798351850689,114.2651706903899
53,汉口安静社区,30.59542113296123,114.296935312206
54,江堤街，江城明珠社区，江城明珠小区,30.51544690607157,114.2256089564082
55,汉阳区夹河路夹河村,30.54217873046797,114.2682404698091
56,汉阳区，鲤鱼洲家园,30.52930190120069,114.2350750303807
57,一元路街道同福社区,30.58703873519715,114.3040197986104
58,江岸区百步亭世博园,30.6629164093047,114.3233752281117
59,武昌区读书院社区,30.54399568728932,114.3073720951126
60,江夏区郑店关山桥付家湾,30.338553010733,114.3040681274469
61,洪山区和平街新绿美地社区融海杰座小区,30.59695638097316,114.3658921177295
62,武昌百瑞景，百瑞景社区,30.52663090385504,114.3415972655511
63,白沙洲武泰闸城市花园小区,30.59230517619541,114.4370058446131
64,硚口区江湾国际,30.60141487235546,114.1997610238336
65,武汉市江岸区塔子湖街尚荣社区富强天合熙园,30.64453851068452,114.2822214272747
66,武汉市蔡甸区后官湖大道碧波山庄小区,30.47814694533037,114.1281097509329
67,大华铂金瑞府,30.63034285826499,114.3671219878032
68,江岸区发展大道田园小区市委宿舍楼,30.62777582156685,114.2817485592543
69,汉阳区墨水湖北路外运路,30.5590360068118,114.2346109235339
70,湖北武汉洪山区加州阳光小区,30.5107554293955,114.4110941323472
71,洪山区马湖新区保利心语,30.47324417695069,114.334734570777
72,长山社区万科嘉园小区,30.50475727724522,114.4518409109576
73,武昌区汉飞又一城,30.54592333308365,114.3028896404483
74,关山大道曙光星城C座,30.49325838059773,114.4093302196478
75,江岸区百步亭花园悦秀苑,30.66690573545843,114.3231141805305
76,洪山区百胜青城一品,30.61903457807469,114.3891551761992
77,青山区钢都花园126街坊,30.62561534931254,114.3799417955667
78,江岸区一元街三阳社区,30.60187499315722,114.3131317605509
79,洪山区卓刀泉街道关西社区,30.50450532038495,114.3934733307857
80,武汉市硚口区学院社区,30.58240857964923,114.2542553801381
81,武昌区珞珈山街道珞珈山花园小区,30.52668417676453,114.3365912784356
82,武昌区凯德小区,30.55920586171854,114.3464220644452
83,万达御湖世家,30.56692813035358,114.3449513586642
84,硚口区古田四路天泽一方城市便捷酒店隔离点,30.60649970241012,114.2267140518466
85,华润中央公园/九龙仓月玺、汉阳华园社区,30.57236707765991,114.2474835938817
86,青山区八大家花园43街,30.63142370751137,114.3900332698352
87,江汉区三阳路清华园，隶属清华社区,30.60222453117966,114.3081044835948
88,建乐社区(建乐村建乐小区,30.57695690931845,114.2608449900371
89,长城坐标城,30.48076038749486,114.4175023743637
90,红霞新村,30.44026446649454,114.2651125700234
91,黄陂区王家河镇大阳村向家咀,30.94989098544969,114.4669130401262
92,汉阳江堤街三里民居,30.53654009056958,114.2572070323828
93,汉阳区永丰社区,30.57008292366408,114.2208406609307
94,江岸区花桥街道蔡家田,30.62520949299992,114.2872456499921
95,武昌区积玉桥嘉景花园,30.56610705708034,114.3195130534021
96,武汉经济开发区沌阳街道三元寺村7区,30.48195332854543,114.1662405740676
97,硚口区宗关街发展大道附,30.57687338842181,114.270343403008
98,武汉青山区钢花新村115街,30.6264158694351,114.3959301963555
99,江汉区黄孝北路,30.60585216189376,114.2820461139714
100,武昌区棋盘街云鹤星苑（武昌区中医社区,30.55601261517114,114.3226850599884
101,洪山区广八路银海东湖珞珈,30.5339279289007,114.3727910142156
102,汉阳区广电兰亭盛荟二期,30.52266840547773,114.2415507351411
103,江岸区一元路社区,30.59858923120641,114.3096540049046
104,东西湖区丽水佳苑三期,30.65837923201483,114.2339534959515
105,硚口区长丰大道百姓之春,30.61246524326276,114.2208145202404
106,武汉市青山区和平大道建设三路江南春城,30.63516063446807,114.3872584041149
107,青山区114街坊,30.64938361215697,114.4100033199664
108,现在在武昌紫荆医院,30.58697041769894,114.3346503995508
109,洪山区,30.50633395680806,114.3504555460155
110,武汉市江汉区杨汊湖常青三院,30.63633557981775,114.2671059997806
111,江岸区后湖大道汉口年华,30.65619125744787,114.3178965526369
112,汉阳区永丰街黄金口岸社区,30.58978429669841,114.1788358952841
113,武昌区民主一路,30.55039290282947,114.334701962287
114,东西湖区易家街社区,30.6259198181092,114.1434587378596
115,硚口区汉正街道燕山社区,30.57571656406301,114.2817033744871
116,湖北省武汉市青山区碧苑花园,30.63302526548615,114.4154879242576
117,洪山区关山大道新竹路保利时代,30.4957018962643,114.4156220412702
118,603厂c区,30.59846673640099,114.3115815547323
